n,time,maxDepth,comparisons
100,120200,4,622
200,151400,5,1355
300,166100,5,2102
400,153000,6,2842
500,190900,6,3502
600,217700,5,4376
700,269800,6,5081
800,224600,7,5838
900,223000,6,7001
1000,109200,6,7101
1100,526500,8,7441
1200,133100,6,8908
1300,86700,7,10056
1400,99200,7,10829
1500,101000,7,11124
1600,121700,8,12295
1700,117700,7,13122
1800,118000,7,13790
1900,117100,7,14906
2000,169000,8,15444
