n,time,maxDepth,comparisons
100,7862300,7,439
200,3137500,8,7995
300,5102700,9,55956
400,4009000,9,34682
500,3050500,9,9799
600,13413800,10,333767
700,13457700,10,608122
800,7871800,10,288221
900,6937700,10,151790
1000,6605600,10,126961
1100,14918800,11,773648
1200,37783500,11,2540124
1300,61166200,11,4499529
1400,56012300,11,4535996
1500,39205600,11,2243303
1600,41901500,11,2759520
1700,36720900,11,2030930
1800,17695900,11,1396936
1900,16390800,11,977686
2000,16295000,11,922968
