n,time,maxDepth,comparisons
100,920400,0,0
200,138600,0,0
300,135600,0,0
400,148900,0,0
500,258800,0,0
600,400700,0,0
700,131700,0,0
800,133000,0,0
900,97500,0,0
1000,88900,0,0
1100,118000,0,0
1200,127900,0,0
1300,120800,0,0
1400,158800,0,0
1500,169000,0,0
1600,618900,0,0
1700,171400,0,0
1800,115800,0,0
1900,358900,0,0
2000,125000,0,0
