n,time,maxDepth,comparisons
100,92400,3,647
200,123200,4,1526
300,150700,5,2327
400,234300,5,3368
500,413500,5,4659
600,394900,6,5197
700,127600,6,6362
800,127600,6,7553
900,116700,6,8928
1000,110400,6,10316
1100,137000,7,10213
1200,136500,7,11467
1300,147900,7,12706
1400,163200,7,14065
1500,181800,7,15444
1600,277100,7,16672
1700,418800,7,18079
1800,1447600,7,19459
1900,630800,7,20949
2000,136700,7,22668
